Trial#, Alpha, Epsilon, Trial 1, Avg 1, Trial 2, Avg 2, Trial 3, Avg 3, AverageSuccess, AverageReturn
500, 0.1000, 0.9772, 225, 417.87, 197, 417.96, 183, 416.76, 201, 417.57
1000, 0.1000, 0.9550, 285, 413.00, 284, 411.49, 324, 414.23, 297, 412.97
1500, 0.1000, 0.9333, 500, 406.94, 570, 405.91, 481, 407.52, 517, 406.74
2000, 0.1000, 0.9120, 701, 407.30, 725, 404.84, 719, 405.17, 715, 405.76
2500, 0.1000, 0.8913, 935, 403.90, 961, 404.25, 936, 403.45, 944, 403.87
3000, 0.1000, 0.8710, 1189, 402.18, 1177, 402.02, 1213, 402.47, 1193, 402.22
3500, 0.1000, 0.8511, 1795, 391.32, 1733, 391.22, 1747, 388.70, 1758, 390.42
4000, 0.1000, 0.8318, 2026, 384.73, 1995, 385.25, 2061, 386.50, 2027, 385.50
4500, 0.1000, 0.8128, 2295, 381.56, 2386, 382.75, 2322, 380.68, 2334, 381.67
5000, 0.1000, 0.7943, 2732, 376.91, 2659, 377.93, 2645, 377.81, 2678, 377.54
5500, 0.1000, 0.7762, 3058, 374.61, 3095, 376.48, 3125, 374.65, 3092, 375.25
