Trial#, Alpha, Epsilon, Trial 1, Avg 1, Trial 2, Avg 2, Trial 3, Avg 3, AverageSuccess, AverageReturn
500, 0.1000, 0.9772, 0, 0.00, 0, 0.00, 0, 0.00, 0, 0.00
1000, 0.1000, 0.9550, 0, 0.00, 0, 0.00, 0, 0.00, 0, 0.00
1500, 0.1000, 0.9333, 0, 0.00, 0, 0.00, 0, 0.00, 0, 0.00
2000, 0.1000, 0.9120, 0, 0.00, 0, 0.00, 0, 0.00, 0, 0.00
2500, 0.1000, 0.8913, 17, 350.00, 12, 358.08, 9, 340.78, 12, 350.37
3000, 0.1000, 0.8710, 42, 369.93, 42, 370.21, 56, 380.09, 46, 374.08
3500, 0.1000, 0.8511, 66, 384.82, 55, 387.04, 53, 377.21, 58, 383.20
4000, 0.1000, 0.8318, 67, 375.91, 71, 375.68, 67, 369.01, 68, 373.58
4500, 0.1000, 0.8128, 74, 373.39, 77, 374.25, 81, 370.81, 77, 372.78
5000, 0.1000, 0.7943, 103, 377.08, 126, 374.56, 139, 371.54, 122, 374.12
5500, 0.1000, 0.7762, 166, 372.96, 194, 367.86, 150, 372.34, 170, 370.84
6000, 0.1000, 0.7586, 195, 374.62, 208, 370.81, 210, 372.20, 204, 372.50
6500, 0.1000, 0.7413, 249, 370.33, 261, 378.75, 244, 377.30, 251, 375.50
7000, 0.1000, 0.7244, 227, 376.50, 257, 374.62, 251, 373.30, 245, 374.75
7500, 0.1000, 0.7079, 314, 373.41, 310, 370.73, 304, 371.88, 309, 372.01
8000, 0.1000, 0.6918, 370, 367.43, 460, 369.58, 418, 372.44, 416, 369.90
8500, 0.1000, 0.6761, 492, 367.84, 472, 369.33, 482, 368.27, 482, 368.47
9000, 0.1000, 0.6607, 514, 364.67, 500, 368.24, 518, 366.60, 510, 366.49
9500, 0.1000, 0.6457, 575, 361.71, 574, 361.48, 631, 365.18, 593, 362.87
10000, 0.1000, 0.6310, 714, 358.57, 712, 357.99, 704, 359.00, 710, 358.52
10500, 0.1000, 0.6166, 826, 354.70, 829, 357.83, 805, 354.89, 820, 355.82
11000, 0.1000, 0.6026, 969, 351.69, 878, 352.46, 915, 352.90, 920, 352.34
11500, 0.1000, 0.5888, 1032, 353.19, 985, 351.73, 1034, 351.45, 1017, 352.13
12000, 0.1000, 0.5754, 1081, 352.85, 1155, 351.83, 1069, 353.45, 1101, 352.69
12500, 0.1000, 0.5623, 1290, 347.15, 1299, 346.87, 1299, 348.17, 1296, 347.40
13000, 0.1000, 0.5495, 1352, 346.49, 1319, 343.75, 1441, 345.17, 1370, 345.15
13500, 0.1000, 0.5370, 1613, 345.25, 1577, 347.93, 1665, 343.83, 1618, 345.64
14000, 0.1000, 0.5248, 1711, 344.75, 1706, 343.36, 1680, 345.57, 1699, 344.55
14500, 0.1000, 0.5129, 1739, 344.81, 1680, 344.14, 1761, 344.88, 1726, 344.61
15000, 0.1000, 0.5012, 1815, 340.31, 1858, 343.31, 1853, 340.40, 1842, 341.35
15500, 0.1000, 0.4898, 2055, 340.58, 2119, 339.91, 2103, 338.19, 2092, 339.55
16000, 0.1000, 0.4786, 2227, 339.64, 2206, 340.26, 2179, 340.61, 2204, 340.17
16500, 0.1000, 0.4677, 2295, 337.85, 2365, 338.61, 2314, 338.76, 2324, 338.41
17000, 0.1000, 0.4571, 2532, 335.93, 2490, 335.14, 2468, 336.44, 2496, 335.84
17500, 0.1000, 0.4467, 2716, 332.58, 2657, 333.27, 2674, 334.76, 2682, 333.53
