Trial#, Alpha, Epsilon, Trial 1, Avg 1, Trial 2, Avg 2, Trial 3, Avg 3, AverageSuccess, AverageReturn
500, 0.1000, 0.9772, 0, 0.00, 0, 0.00, 0, 0.00, 0, 0.00
1000, 0.1000, 0.9550, 0, 0.00, 0, 0.00, 0, 0.00, 0, 0.00
1500, 0.1000, 0.9333, 0, 0.00, 0, 0.00, 0, 0.00, 0, 0.00
2000, 0.1000, 0.9120, 9, 367.33, 6, 359.67, 8, 358.88, 7, 362.39
2500, 0.1000, 0.8913, 8, 371.50, 12, 355.50, 6, 358.33, 8, 361.08
3000, 0.1000, 0.8710, 14, 349.50, 15, 359.07, 11, 355.09, 13, 354.62
3500, 0.1000, 0.8511, 13, 353.54, 22, 360.45, 14, 357.14, 16, 357.67
4000, 0.1000, 0.8318, 211, 359.86, 185, 359.33, 176, 356.70, 190, 358.72
4500, 0.1000, 0.8128, 218, 355.99, 232, 355.94, 220, 356.28, 223, 356.07
5000, 0.1000, 0.7943, 330, 338.35, 321, 336.72, 313, 340.04, 321, 338.35
5500, 0.1000, 0.7762, 338, 337.88, 355, 336.37, 372, 336.82, 355, 337.01
6000, 0.1000, 0.7586, 540, 331.16, 527, 328.80, 565, 328.47, 544, 329.47
6500, 0.1000, 0.7413, 768, 333.15, 795, 333.96, 796, 332.71, 786, 333.27
7000, 0.1000, 0.7244, 956, 331.14, 957, 331.91, 967, 332.23, 960, 331.76
7500, 0.1000, 0.7079, 1088, 329.22, 1030, 331.21, 1038, 329.04, 1052, 329.81
8000, 0.1000, 0.6918, 1187, 328.55, 1225, 326.52, 1236, 327.80, 1216, 327.62
8500, 0.1000, 0.6761, 1365, 328.40, 1382, 329.23, 1387, 328.03, 1378, 328.56
9000, 0.1000, 0.6607, 1590, 324.70, 1603, 325.47, 1637, 325.00, 1610, 325.06
9500, 0.1000, 0.6457, 1753, 324.68, 1751, 323.85, 1658, 323.13, 1720, 323.90
10000, 0.1000, 0.6310, 1791, 323.43, 1863, 322.66, 1794, 321.10, 1816, 322.40
10500, 0.1000, 0.6166, 1924, 321.00, 1858, 322.19, 1885, 320.43, 1889, 321.20
11000, 0.1000, 0.6026, 1901, 320.59, 1925, 318.78, 1972, 318.75, 1932, 319.36
11500, 0.1000, 0.5888, 2187, 320.87, 2315, 318.88, 2318, 318.26, 2273, 319.31
12000, 0.1000, 0.5754, 2431, 318.85, 2304, 318.78, 2408, 319.86, 2381, 319.17
12500, 0.1000, 0.5623, 2688, 317.91, 2643, 318.63, 2652, 319.47, 2661, 318.67
13000, 0.1000, 0.5495, 2720, 316.13, 2697, 314.65, 2672, 314.93, 2696, 315.24
13500, 0.1000, 0.5370, 2834, 313.57, 2793, 314.44, 2861, 315.05, 2829, 314.36
14000, 0.1000, 0.5248, 3124, 313.10, 3109, 314.26, 3125, 313.10, 3119, 313.49
14500, 0.1000, 0.5129, 3307, 313.44, 3322, 312.45, 3217, 313.50, 3282, 313.12
15000, 0.1000, 0.5012, 3314, 311.39, 3297, 312.56, 3334, 312.61, 3315, 312.19
15500, 0.1000, 0.4898, 3388, 311.19, 3561, 309.76, 3495, 310.56, 3481, 310.49
16000, 0.1000, 0.4786, 3622, 311.88, 3782, 312.67, 3751, 311.98, 3718, 312.18
16500, 0.1000, 0.4677, 4033, 310.99, 4021, 313.32, 4004, 311.88, 4019, 312.06
17000, 0.1000, 0.4571, 4191, 310.37, 4166, 311.31, 4115, 310.67, 4157, 310.78
17500, 0.1000, 0.4467, 4338, 309.73, 4351, 309.64, 4308, 309.76, 4332, 309.71
