Trial#, Alpha, Epsilon, Trial 1, Avg 1, Trial 2, Avg 2, Trial 3, Avg 3, AverageSuccess, AverageReturn
500, 0.1000, 0.9886, 10, 349.20, 8, 356.38, 13, 343.15, 10, 348.52
1000, 0.1000, 0.9772, 427, 371.87, 484, 374.20, 460, 375.58, 457, 373.94
1500, 0.1000, 0.9661, 649, 381.22, 651, 378.69, 686, 378.69, 662, 379.52
2000, 0.1000, 0.9550, 930, 382.45, 895, 380.35, 907, 382.06, 910, 381.63
2500, 0.1000, 0.9441, 1142, 378.42, 1185, 380.51, 1183, 380.92, 1170, 379.97
3000, 0.1000, 0.9333, 1330, 377.22, 1353, 376.55, 1382, 374.55, 1355, 376.09
3500, 0.1000, 0.9226, 1646, 374.91, 1707, 374.56, 1602, 373.13, 1651, 374.22
4000, 0.1000, 0.9120, 1821, 370.02, 1781, 368.29, 1873, 369.44, 1825, 369.26
4500, 0.1000, 0.9016, 2115, 369.27, 2119, 368.49, 1980, 370.76, 2071, 369.48
5000, 0.1000, 0.8913, 2493, 368.43, 2419, 368.94, 2418, 368.33, 2443, 368.56
5500, 0.1000, 0.8810, 2432, 363.90, 2462, 363.59, 2551, 362.71, 2481, 363.39
6000, 0.1000, 0.8710, 2724, 363.88, 2726, 364.17, 2795, 367.36, 2748, 365.15
6500, 0.1000, 0.8610, 3117, 362.46, 3162, 364.10, 3176, 363.74, 3151, 363.43
7000, 0.1000, 0.8511, 3408, 358.11, 3587, 357.89, 3384, 358.67, 3459, 358.22
7500, 0.1000, 0.8414, 3389, 357.71, 3276, 357.40, 3240, 359.03, 3301, 358.04
8000, 0.1000, 0.8318, 3399, 359.08, 3459, 360.00, 3439, 360.25, 3432, 359.78
8500, 0.1000, 0.8222, 3720, 358.91, 3681, 358.63, 3679, 359.20, 3693, 358.92
9000, 0.1000, 0.8128, 4044, 356.35, 4062, 355.24, 3987, 357.10, 4031, 356.22
9500, 0.1000, 0.8035, 4378, 359.54, 4467, 359.97, 4451, 358.18, 4432, 359.23
10000, 0.1000, 0.7943, 4569, 356.42, 4509, 354.96, 4422, 356.41, 4500, 355.93
10500, 0.1000, 0.7852, 4720, 359.15, 4892, 359.64, 4755, 357.86, 4789, 358.89
11000, 0.1000, 0.7762, 5382, 358.70, 5351, 358.63, 5410, 359.86, 5381, 359.07
11500, 0.1000, 0.7674, 5693, 353.27, 5636, 353.69, 5604, 354.19, 5644, 353.71
12000, 0.1000, 0.7586, 5874, 352.65, 5985, 353.85, 5938, 354.09, 5932, 353.54
12500, 0.1000, 0.7499, 5935, 355.46, 5957, 355.48, 5942, 357.02, 5944, 355.98
13000, 0.1000, 0.7413, 5866, 353.51, 5846, 353.10, 5849, 353.28, 5853, 353.30
13500, 0.1000, 0.7328, 6054, 354.79, 6100, 356.30, 6068, 356.44, 6074, 355.85
14000, 0.1000, 0.7244, 6519, 353.69, 6411, 353.23, 6461, 352.78, 6463, 353.24
14500, 0.1000, 0.7161, 6510, 352.39, 6646, 353.72, 6641, 352.28, 6599, 352.80
15000, 0.1000, 0.7079, 6656, 350.18, 6651, 351.08, 6613, 349.45, 6640, 350.24
15500, 0.1000, 0.6998, 6897, 353.13, 6875, 353.39, 6884, 352.54, 6885, 353.02
16000, 0.1000, 0.6918, 7116, 355.76, 7078, 355.42, 7159, 356.48, 7117, 355.89
16500, 0.1000, 0.6839, 7235, 356.37, 7117, 354.61, 7182, 355.83, 7178, 355.61
